Provinsi,DATE,Tmax_C,Tmin_C,Tavg_C,PRCP,Tahun,Triwulan
SUMATERA BARAT,2021-01-01,31.61111111111111,24.5,26.611111111111114,0.51,2021,I
SUMATERA BARAT,2021-01-02,31.38888888888889,23.72222222222222,28.000000000000004,99.99,2021,I
SUMATERA BARAT,2021-01-03,32.0,23.61111111111111,26.666666666666668,0.47,2021,I
SUMATERA BARAT,2021-01-04,31.61111111111111,23.22222222222222,27.0,0.0,2021,I
SUMATERA BARAT,2021-01-05,32.0,23.000000000000004,28.05555555555556,0.0,2021,I
SUMATERA BARAT,2021-01-06,31.77777777777778,23.22222222222222,27.05555555555556,0.16,2021,I
SUMATERA BARAT,2021-01-07,31.61111111111111,24.0,27.666666666666668,0.0,2021,I
SUMATERA BARAT,2021-01-08,31.88888888888889,23.38888888888889,26.444444444444443,4.21,2021,I
SUMATERA BARAT,2021-01-09,31.22222222222222,23.38888888888889,26.333333333333336,0.0,2021,I
SUMATERA BARAT,2021-01-10,31.61111111111111,23.38888888888889,27.38888888888889,0.0,2021,I
SUMATERA BARAT,2021-01-11,30.0,23.88888888888889,26.0,0.63,2021,I
SUMATERA BARAT,2021-01-12,28.38888888888889,23.61111111111111,26.05555555555556,99.99,2021,I
SUMATERA BARAT,2021-01-13,32.888888888888886,23.77777777777778,27.61111111111111,0.0,2021,I
SUMATERA BARAT,2021-01-14,31.38888888888889,23.111111111111107,27.11111111111111,0.0,2021,I
SUMATERA BARAT,2021-01-15,31.0,22.38888888888889,27.11111111111111,0.0,2021,I
SUMATERA BARAT,2021-01-16,31.88888888888889,22.38888888888889,27.77777777777778,0.0,2021,I
SUMATERA BARAT,2021-01-17,31.88888888888889,23.77777777777778,27.555555555555557,0.04,2021,I
SUMATERA BARAT,2021-01-18,31.88888888888889,23.77777777777778,27.27777777777777,0.0,2021,I
SUMATERA BARAT,2021-01-19,32.0,22.38888888888889,26.83333333333333,0.0,2021,I
SUMATERA BARAT,2021-01-20,32.111111111111114,22.722222222222225,27.22222222222222,0.0,2021,I
SUMATERA BARAT,2021-01-21,32.0,22.38888888888889,27.33333333333333,0.0,2021,I
SUMATERA BARAT,2021-01-22,32.22222222222222,22.38888888888889,27.61111111111111,0.0,2021,I
SUMATERA BARAT,2021-01-23,32.611111111111114,22.77777777777778,28.000000000000004,0.0,2021,I
SUMATERA BARAT,2021-01-24,33.22222222222222,22.38888888888889,27.666666666666668,0.28,2021,I
SUMATERA BARAT,2021-01-25,31.0,22.61111111111111,27.16666666666667,0.0,2021,I
SUMATERA BARAT,2021-01-26,30.0,23.111111111111107,26.888888888888893,0.2,2021,I
SUMATERA BARAT,2021-01-27,30.72222222222222,22.88888888888889,25.222222222222225,1.61,2021,I
SUMATERA BARAT,2021-01-28,32.0,22.38888888888889,26.944444444444443,99.99,2021,I
SUMATERA BARAT,2021-01-29,32.111111111111114,24.0,27.11111111111111,0.12,2021,I
SUMATERA BARAT,2021-01-30,29.61111111111111,23.72222222222222,26.38888888888889,0.02,2021,I
SUMATERA BARAT,2021-01-31,32.388888888888886,24.0,27.83333333333333,1.18,2021,I
SUMATERA BARAT,2021-02-01,30.77777777777778,23.77777777777778,26.333333333333336,0.47,2021,I
SUMATERA BARAT,2021-02-02,31.27777777777778,24.0,27.16666666666667,0.0,2021,I
SUMATERA BARAT,2021-02-03,31.38888888888889,24.0,27.05555555555556,0.0,2021,I
SUMATERA BARAT,2021-02-04,31.22222222222222,23.61111111111111,27.722222222222225,0.0,2021,I
SUMATERA BARAT,2021-02-05,32.27777777777778,23.61111111111111,28.05555555555556,0.0,2021,I
SUMATERA BARAT,2021-02-06,33.77777777777778,23.38888888888889,28.05555555555556,0.0,2021,I
SUMATERA BARAT,2021-02-07,33.0,22.88888888888889,28.61111111111111,0.0,2021,I
SUMATERA BARAT,2021-02-08,32.22222222222222,23.000000000000004,28.000000000000004,0.0,2021,I
SUMATERA BARAT,2021-02-09,34.22222222222222,23.61111111111111,27.666666666666668,0.0,2021,I
SUMATERA BARAT,2021-02-10,31.5,24.388888888888893,29.5,0.0,2021,I
SUMATERA BARAT,2021-02-13,32.27777777777778,24.88888888888889,25.88888888888889,0.0,2021,I
SUMATERA BARAT,2021-02-14,32.77777777777778,24.222222222222214,28.444444444444443,0.0,2021,I
SUMATERA BARAT,2021-02-15,33.111111111111114,24.61111111111111,28.55555555555556,0.0,2021,I
SUMATERA BARAT,2021-02-16,32.22222222222222,24.0,27.77777777777778,0.0,2021,I
SUMATERA BARAT,2021-02-17,32.388888888888886,22.22222222222222,28.05555555555556,0.0,2021,I
SUMATERA BARAT,2021-02-18,31.0,22.61111111111111,27.11111111111111,0.04,2021,I
SUMATERA BARAT,2021-02-19,32.0,24.222222222222214,29.77777777777778,0.0,2021,I
SUMATERA BARAT,2021-02-22,32.388888888888886,24.61111111111111,28.277777777777786,0.35,2021,I
SUMATERA BARAT,2021-02-23,31.77777777777778,24.0,27.88888888888889,0.02,2021,I
SUMATERA BARAT,2021-02-24,31.61111111111111,23.5,27.61111111111111,99.99,2021,I
SUMATERA BARAT,2021-02-25,31.0,23.277777777777786,26.55555555555556,0.04,2021,I
SUMATERA BARAT,2021-02-26,28.22222222222222,22.27777777777777,24.77777777777777,0.69,2021,I
SUMATERA BARAT,2021-02-27,31.88888888888889,22.27777777777777,27.444444444444446,0.0,2021,I
SUMATERA BARAT,2021-02-28,32.0,22.38888888888889,28.166666666666668,0.0,2021,I
SUMATERA BARAT,2021-03-01,32.111111111111114,23.22222222222222,28.277777777777786,99.99,2021,I
SUMATERA BARAT,2021-03-02,31.22222222222222,23.111111111111107,25.33333333333333,4.17,2021,I
SUMATERA BARAT,2021-03-03,31.38888888888889,23.111111111111107,25.55555555555556,0.2,2021,I
SUMATERA BARAT,2021-03-04,31.77777777777778,23.000000000000004,27.77777777777778,0.0,2021,I
SUMATERA BARAT,2021-03-05,31.61111111111111,24.222222222222214,27.944444444444443,0.0,2021,I
SUMATERA BARAT,2021-03-06,31.0,23.5,25.83333333333333,0.55,2021,I
SUMATERA BARAT,2021-03-07,31.38888888888889,22.27777777777777,26.11111111111111,0.26,2021,I
SUMATERA BARAT,2021-03-08,30.77777777777778,22.38888888888889,27.22222222222222,0.0,2021,I
SUMATERA BARAT,2021-03-09,31.77777777777778,23.22222222222222,25.27777777777778,2.2,2021,I
SUMATERA BARAT,2021-03-10,30.77777777777778,22.5,26.5,0.0,2021,I
SUMATERA BARAT,2021-03-11,31.27777777777778,22.5,27.5,0.0,2021,I
SUMATERA BARAT,2021-03-12,30.5,23.22222222222222,26.166666666666664,0.08,2021,I
SUMATERA BARAT,2021-03-13,31.22222222222222,23.61111111111111,27.38888888888889,0.0,2021,I
SUMATERA BARAT,2021-03-14,31.0,24.388888888888893,27.33333333333333,0.0,2021,I
SUMATERA BARAT,2021-03-15,31.61111111111111,24.27777777777778,27.61111111111111,0.47,2021,I
SUMATERA BARAT,2021-03-16,30.61111111111111,23.77777777777778,26.22222222222222,0.41,2021,I
SUMATERA BARAT,2021-03-17,31.38888888888889,23.61111111111111,26.666666666666668,0.0,2021,I
SUMATERA BARAT,2021-03-18,32.77777777777778,23.277777777777786,26.666666666666668,0.09,2021,I
SUMATERA BARAT,2021-03-19,31.22222222222222,23.38888888888889,27.33333333333333,0.2,2021,I
SUMATERA BARAT,2021-03-20,30.77777777777778,24.0,26.05555555555556,1.89,2021,I
SUMATERA BARAT,2021-03-21,31.0,23.61111111111111,25.777777777777786,2.8,2021,I
SUMATERA BARAT,2021-03-22,29.88888888888889,23.22222222222222,26.0,1.06,2021,I
